no	code	name	lambda	alpha	delta	da	dd	vel	a	q	e	peri	node	i
260	GTI	γ Triangulids	272.00	43.30	41.60	0.00	0.00	11.30	2.54	0.93	0.64	212.00	273.00	7.10
261	DDC	Daytime δ Scorpiids	254.00	246.60	-26.30	0.00	0.00	25.30	2.38	0.50	0.79	262.60	74.40	4.00
262	KLI	Daytime κ Librids	259.00	231.30	-20.80	0.00	0.00	31.90	1.35	0.19	0.86	221.10	78.80	8.40
263	NAN	ν Andromedids	286.30	20.00	40.00	0.00	0.00	7.70	1.90	0.98	0.49	188.60	286.30	6.20
264	XCE	ξ Cetids	286.30	37.00	8.00	0.00	0.00	7.70	1.99	0.98	0.51	7.80	106.30	1.20
265	JGD	January γ Delphinids	289.40	311.00	18.00	0.00	0.00	14.00	2.41	0.90	0.63	140.00	289.00	12.60
266	ACC	α Cancrids	303.50	135.40	6.30	0.00	0.00	19.30	1.17	0.48	0.59	112.60	124.20	7.20
267	JNO	January ν Orionids	307.90	88.00	12.00	0.00	0.00	12.00	1.87	0.85	0.52	51.70	112.50	4.10
268	BCD	β Cancrids	316.20	119.40	11.00	0.00	0.00	14.60	2.25	0.83	0.63	54.30	139.10	3.90
269	OCS	ω Cassiopeiids	317.50	7.40	66.40	0.00	0.00	9.40	1.87	0.99	0.47	177.90	317.50	12.20
270	FAO	February α Orionids	318.00	88.80	9.40	0.83	-0.11	9.40	2.16	0.95	0.56	22.40	318.00	3.50
271	MLY	March Lyncids	339.40	123.50	50.30	0.00	0.00	9.40	1.97	0.96	0.51	204.10	339.40	7.40
273	PBO	φ Bootids	42.10	217.50	53.70	0.00	0.00	15.10	2.67	1.00	0.63	195.60	53.60	20.80
274	NUM	ν Ursae Majorids	54.40	173.50	45.20	0.00	0.00	9.20	2.22	1.00	0.55	188.30	44.30	9.00
275	CLI	χ Librids	79.70	223.20	-20.40	0.00	0.00	12.20	3.48	0.90	0.74	46.20	255.20	1.30
277	GCA	γ Camelopardalids	109.90	88.70	79.00	0.00	0.00	22.70	1.38	0.76	0.45	100.80	109.90	37.30
278	MSR	July μ Serpendids	112.20	240.80	4.70	0.00	0.00	9.80	2.42	0.99	0.59	201.70	112.20	6.40
279	ZED	July ζ Draconids	115.70	251.60	66.50	0.00	0.00	20.60	2.76	1.02	0.63	176.70	115.70	32.50
280	ADL	δ Librids	141.70	234.50	-2.50	0.00	0.00	7.10	1.95	1.01	0.48	182.80	141.70	2.80
281	OCT	October Camelopardalids	193.00	166.00	79.10	0.00	0.00	46.60	368.00	0.99	1.00	170.60	192.57	78.60
282	DCY	δ Cygnids	200.80	294.60	46.50	0.00	0.00	14.00	2.50	0.99	0.60	191.50	200.80	19.60
283	OPL	π Leonids	218.10	146.00	8.00	0.00	0.00	5.80	0.76	0.51	0.33	189.00	38.10	4.00
284	OMA	ο Ursae Majorids	228.90	115.00	70.00	0.00	0.00	9.40	0.79	0.57	0.29	337.00	229.60	16.10
285	GTA	γ Taurids	232.80	60.00	17.50	0.00	0.00	14.10	1.13	0.63	0.44	101.50	52.80	0.40
286	FTA	ω Taurids	240.20	58.00	16.80	0.00	0.00	21.70	1.79	0.53	0.70	97.40	60.20	3.20
286	FTA	ω Taurids	242.00	65.20	15.10	1.02	0.16	23.30	2.10	0.52	0.75	96.20	62.70	5.10
287	NER	November ε Eridanids	240.80	52.00	-7.00	0.00	0.00	11.10	1.38	0.83	0.40	65.60	60.80	8.40
288	DSA	Southern December δ Arietids	256.50	66.60	15.60	0.00	15.20	15.20	1.90	0.76	0.60	67.00	78.90	2.80
289	DNA	Northern December δ Arietids	256.50	53.00	29.00	0.00	0.00	14.60	1.83	0.77	0.58	247.30	251.10	4.20
319	JLE	January Leonids	282.50	148.30	23.90	0.66	-0.14	52.70	6.30	0.06	0.99	333.70	282.00	109.30
319	JLE	January Leonids	282.00	148.20	23.70	0.70	-0.13	52.30	5.34	0.05	0.99	334.71	282.00	107.90
319	JLE	January Leonids	283.00	147.70	24.10	1.01	-0.34	51.40	5.43	0.05	0.99	335.70	283.40	100.10
320	OSE	ω Serpentids	275.50	242.70	0.50	0.76	0.11	38.90	1.37	0.16	0.88	38.80	275.90	56.50
320	OSE	ω Serpentids	278.76	252.30	-5.80	0.00	0.00	45.00	15.70	0.15	0.99	45.40	278.75	50.30
321	TCB	thη Coronae Borealids	296.50	232.30	35.80	0.70	-0.06	38.66	1.11	0.92	0.17	124.90	296.50	77.00
321	TCB	thη Coronae Borealids	296.00	233.60	34.40	0.30	0.16	37.70	1.04	0.86	0.17	98.20	296.00	76.00
322	LBO	λ Bootids	295.50	219.60	43.20	0.88	-0.69	41.75	1.49	0.96	0.36	206.60	295.40	79.30
322	LBO	λ Bootids	296.00	221.50	42.40	1.04	-0.76	40.70	1.36	0.96	0.29	203.90	296.00	78.30
323	XCB	ξ Coronae Borealids	294.50	244.80	31.10	0.69	-0.11	44.25	2.34	0.82	0.65	124.70	294.50	79.60
323	XCB	ξ Coronae Borealids	295.00	247.00	30.30	0.39	0.11	44.80	2.84	0.80	0.72	123.70	295.00	79.30
323	XCB	ξ Coronae Borealids	296.00	250.90	29.70	0.70	-0.13	45.10	4.25	0.78	0.81	122.70	296.10	78.00
324	EPR	ε Perseids	95.50	58.20	37.90	0.78	0.15	44.80	4.55	0.13	0.97	39.70	96.00	63.00
324	EPR	ε Perseids	88.00	53.80	37.80	1.17	0.23	43.80	9.05	0.17	0.98	46.80	87.90	53.00
325	DLT	Daytime λ Taurids	85.50	56.70	11.50	0.82	0.27	36.40	1.57	0.10	0.93	210.80	1.70	23.20
326	EPG	ε Pegasids	105.50	326.30	14.70	1.50	0.45	29.90	0.76	0.17	0.77	334.90	105.20	55.40
326	EPG	ε Pegasids	109.00	330.20	13.00	0.87	0.35	28.40	0.73	0.14	0.81	337.80	109.30	49.00
327	BEQ	β Equuleids	106.50	321.50	8.70	0.69	-0.28	31.60	0.89	0.16	0.82	330.30	106.20	49.70
327	BEQ	β Equuleids	91.00	305.10	1.10	0.91	0.23	33.20	1.03	0.16	0.85	327.60	84.80	46.50
328	ALA	α Lacertids	105.50	343.00	49.60	0.70	0.37	38.90	1.09	1.00	0.08	217.10	105.30	81.10
328	ALA	α Lacertids	106.00	349.40	54.40	0.82	0.39	37.40	1.07	0.98	0.09	122.20	114.50	77.70
330	SSE	σ Serpentids	275.50	242.80	-0.10	0.75	-0.14	42.30	1.92	0.16	0.92	41.30	275.90	64.00
330	SSE	σ Serpentids	275.00	242.40	-0.10	0.64	0.03	42.67	1.90	0.16	0.92	41.20	275.00	62.40
330	SSE	σ Serpentids	276.00	245.40	-4.80	0.95	-0.16	45.50	4.30	0.12	0.97	39.10	273.30	60.00
331	AHY	α Hydrids	285.50	127.60	-7.90	0.65	-0.17	43.60	12.70	0.29	0.98	115.60	105.00	57.10
331	AHY	α Hydrids	286.00	128.50	-8.60	0.64	-0.12	43.20	8.62	0.29	0.97	115.64	106.00	57.00
331	AHY	α Hydrids	284.00	126.90	-8.70	0.87	-0.24	43.30	7.07	0.30	0.97	114.60	103.20	58.10
333	OCU	October Ursae Majorids	202.00	144.80	64.50	0.00	0.00	54.10	5.90	0.98	0.88	163.70	202.10	99.70
333	OCU	October Ursae Majorids	202.00	145.00	64.80	1.39	-0.33	55.60	12.63	0.98	0.97	165.90	202.20	100.60
334	DAD	December α Draconids	256.00	210.80	58.60	0.58	-0.34	40.80	2.48	0.98	0.60	177.40	254.80	71.80
335	XVI	December χ Virginids	267.00	194.30	-12.00	0.94	-0.39	69.10	6.24	0.66	0.98	290.30	86.50	169.10
336	DKD	December κ Draconids	252.00	187.20	70.20	0.77	-0.39	43.80	10.31	0.93	0.91	208.50	251.50	73.10
337	NUE	ν Eridanids	163.00	61.50	4.30	0.95	0.19	67.10	7.04	0.87	0.92	43.70	53.20	150.70
338	OER	ο Eridanids	232.00	59.90	0.10	0.92	0.20	28.50	3.92	0.50	0.88	94.10	49.20	19.60
339	PSU	ψ Ursae Majorids	253.00	169.80	42.40	0.98	-0.39	61.70	9.13	0.93	0.90	208.90	253.80	119.40
340	TPY	thη Pyxidids	264.00	151.40	-24.40	0.83	-0.35	62.30	36.80	0.93	0.98	27.30	83.80	121.10
340	TPY	thη Pyxidids	264.00	151.40	-24.40	0.83	-0.35	63.00	16.48	0.93	0.97	27.50	83.80	121.10
341	XUM	January ξ Ursae Majorids	298.00	168.70	33.00	0.97	-0.39	40.90	1.50	0.22	0.86	313.20	298.00	66.80
343	HVI	h Virginids	38.00	204.80	-11.50	0.95	-0.36	17.20	2.28	0.74	0.66	72.70	218.20	0.90
345	FHE	f Herculids	344.00	270.90	41.50	0.57	0.01	42.80	5.66	0.97	0.93	163.60	343.90	71.30
345	FHE	f Herculids	344.00	270.90	41.50	0.57	0.01	42.80	5.66	0.97	0.93	163.60	343.90	71.30
346	XHE	x Herculids	350.00	253.00	49.20	0.48	-0.10	35.20	2.99	0.98	0.67	196.70	350.00	59.80
347	BPG	β Pegasids	36.00	350.50	27.80	0.63	0.34	41.00	2.76	0.30	0.89	61.11	30.00	62.70
347	BPG	β Pegasids	42.00	354.30	30.80	0.00	0.00	44.20	6.13	0.35	0.94	68.00	42.30	69.10
347	BPG	β Pegasids	42.00	354.30	30.80	0.90	0.40	44.20	5.16	0.35	0.94	68.00	42.30	69.10
348	ARC	April ρ Cygnids	37.00	324.50	45.90	0.61	0.36	41.80	6.51	0.81	0.88	125.55	37.00	69.90
348	ARC	April ρ Cygnids	38.00	322.10	46.60	0.66	0.32	40.90	6.14	0.84	0.86	130.30	39.40	69.70
349	LLY	λ Lyrids	41.00	283.70	28.50	0.72	-0.15	33.40	0.95	0.70	0.26	297.35	41.00	68.90
350	MAL	May Lacertids	42.00	335.60	45.30	0.61	0.50	43.00	11.14	0.72	0.94	114.76	42.00	70.60
351	DTR	Daytime Triangulids	46.00	35.90	34.10	0.00	0.00	26.20	4.24	0.56	868.00	92.58	46.00	16.20
352	ZOP	ζ Ophiuchids	47.00	254.80	-4.40	0.74	-0.29	22.80	0.92	0.30	0.67	318.22	47.00	19.90
353	SCT	σ Cetids	49.00	39.00	-15.70	0.00	0.00	35.50	5.21	0.42	0.92	257.00	229.00	41.10
354	DDT	Daytime δ Triangulids	53.00	35.30	33.70	1.95	0.91	28.40	2.95	0.45	0.85	78.17	53.00	19.60
355	XIC	Daytime ξ Cetids	54.00	36.40	8.60	1.00	0.30	16.50	1.00	0.45	0.55	235.95	234.00	3.70
356	MVL	May Vulpeculids	54.00	287.20	22.50	0.66	-0.09	32.50	0.88	0.49	0.45	312.18	54.00	66.90
357	PHP	φ Pegasids	54.00	358.30	20.70	0.72	-0.01	30.40	0.75	0.11	0.85	20.68	54.00	50.10
358	TOP	τ Ophiuchids	55.00	269.30	-6.40	0.03	-0.55	37.00	1.24	0.13	0.90	328.11	55.00	48.70
